"name","total_indels","in_pks_motif","fraction_pksmotif","injection","method"
"029_DC_T",77,9,0.116883116883117,"adenoma","Crypt"
"030_CE_T",183,30,0.163934426229508,"adenoma","Crypt"
"031_RE_T",133,49,0.368421052631579,"adenoma","Crypt"
"058_RE_T",80,14,0.175,"normal","Crypt"
"103_RE",140,44,0.314285714285714,"normal","Crypt"
"116_RE_T",218,93,0.426605504587156,"adenoma","Crypt"
"116_TR",134,16,0.119402985074627,"adenoma","Crypt"
"12b_D12_84_TR",87,12,0.137931034482759,"adenoma","Crypt"
"148_SI",140,55,0.392857142857143,"normal","Crypt"
"17_27AS",50,12,0.24,"normal","Crypt"
"18_27RE",71,20,0.28169014084507,"normal","Crypt"
"19_27TR",27,4,0.148148148148148,"normal","Crypt"
"20_40DC",123,14,0.113821138211382,"normal","Crypt"
"21_116CE",130,16,0.123076923076923,"adenoma","Crypt"
"22_76TR",97,16,0.164948453608247,"adenoma","Crypt"
"23_180RE",188,77,0.409574468085106,"normal","Crypt"
"24_130DC",133,15,0.112781954887218,"normal","Crypt"
"27_CE",44,8,0.181818181818182,"normal","Crypt"
"27_DC",39,7,0.179487179487179,"normal","Crypt"
"29_74TR",66,13,0.196969696969697,"adenoma","Crypt"
"29_CE",111,8,0.0720720720720721,"adenoma","Crypt"
"30_130RE",122,30,0.245901639344262,"normal","Crypt"
"30_TR",101,19,0.188118811881188,"adenoma","Crypt"
"32_29TR",111,9,0.0810810810810811,"adenoma","Crypt"
"33_130AS",112,17,0.151785714285714,"normal","Crypt"
"40_AS",143,17,0.118881118881119,"normal","Crypt"
"58_DC",114,33,0.289473684210526,"normal","Crypt"
"58_TR",96,25,0.260416666666667,"normal","Crypt"
"74_DC",78,34,0.435897435897436,"adenoma","Crypt"
"A1__031_AS",76,23,0.194915254237288,"adenoma","Crypt"
"A10__180_DC",118,8,0.156862745098039,"normal","Crypt"
"A13__148_AS",51,10,0.105263157894737,"normal","Crypt"
"A15__180_TR",95,7,0.102941176470588,"normal","Crypt"
"A16__084_CE",68,12,0.157894736842105,"adenoma","Crypt"
"A2__148_CE",67,20,0.298507462686567,"normal","Crypt"
"A5__074_AS",82,17,0.207317073170732,"adenoma","Crypt"
