"name","Signature","value","injection","method"
"029_DC_T","ID18",0.436328182472835,"adenoma","Crypt"
"030_CE_T","ID18",0.376253289977187,"adenoma","Crypt"
"031_RE_T","ID18",0.842674305703392,"adenoma","Crypt"
"058_RE_T","ID18",0.53158202905899,"normal","Crypt"
"103_RE","ID18",0.648019431636755,"normal","Crypt"
"116_RE_T","ID18",0.792097049725546,"adenoma","Crypt"
"116_TR","ID18",0.595144050242404,"adenoma","Crypt"
"12b_D12_84_TR","ID18",0.52866928920537,"adenoma","Crypt"
"148_SI","ID18",0.68080383776416,"normal","Crypt"
"17_27AS","ID18",0.31459285332048,"normal","Crypt"
"18_27RE","ID18",0.32419285629401,"normal","Crypt"
"19_27TR","ID18",0.227798669956585,"normal","Crypt"
"20_40DC","ID18",0.577815389758941,"normal","Crypt"
"21_116CE","ID18",0.336818234563149,"adenoma","Crypt"
"22_76TR","ID18",0.477432393474271,"adenoma","Crypt"
"23_180RE","ID18",0.740762013608033,"normal","Crypt"
"24_130DC","ID18",0.501778779167063,"normal","Crypt"
"27_CE","ID18",0.403091659953564,"normal","Crypt"
"27_DC","ID18",0.276045352255948,"normal","Crypt"
"29_74TR","ID18",0.448356274937127,"adenoma","Crypt"
"29_CE","ID18",0.402933766352798,"adenoma","Crypt"
"30_130RE","ID18",0.578492106943958,"normal","Crypt"
"30_TR","ID18",0.441720918081648,"adenoma","Crypt"
"32_29TR","ID18",0.505425093760551,"adenoma","Crypt"
"33_130AS","ID18",0.535869856362531,"normal","Crypt"
"40_AS","ID18",0.625008813951104,"normal","Crypt"
"58_DC","ID18",0.389598006503423,"normal","Crypt"
"58_TR","ID18",0.581593721343694,"normal","Crypt"
"74_DC","ID18",0.564768846853208,"adenoma","Crypt"
"A1__031_AS","ID18",0.603542821360418,"adenoma","Crypt"
"A10__180_DC","ID18",0.5910722535721,"normal","Crypt"
"A13__148_AS","ID18",0.502869329997436,"normal","Crypt"
"A15__180_TR","ID18",0.63113904599447,"normal","Crypt"
"A16__084_CE","ID18",0.653524248118183,"adenoma","Crypt"
"A2__148_CE","ID18",0.570697559953564,"normal","Crypt"
"A5__074_AS","ID18",0.26538210826326,"adenoma","Crypt"
"A6__103_CE","ID18",0.395877114459589,"normal","Crypt"
"A7__116_DC","ID18",0.59345131386185,"adenoma","Crypt"
"A8__093_SI","ID18",0.69712342672544,"adenoma","Crypt"
"A9_09_CE","ID18",0.472445401561826,"normal","Crypt"
"B1_115_SI","ID18",0.565812653639213,"adenoma","Crypt"
"B10_058_CE","ID18",0.442276039336971,"normal","Crypt"
"B12_180_AS","ID18",0.445776500439209,"normal","Crypt"
"B13_148_DC","ID18",0.562811330757883,"normal","Crypt"
"B14_031_CE","ID18",0.667147405566976,"adenoma","Crypt"
"B15_148_RE","ID18",0.903394567323961,"normal","Crypt"
"B17_277_DC","ID18",0.767527852654179,"normal","Crypt"
"B18_115_TC","ID18",0.621018772624766,"adenoma","Crypt"
"B19_277_TC","ID18",0.601641589368632,"normal","Crypt"
"B2_116_RE","ID18",0.879958116859631,"adenoma","Crypt"
"B20_273_CE","ID18",0.491512124678817,"normal","Crypt"
"B21_153_CE","ID18",0.592666041550398,"normal","Crypt"
"B22_93_TR","ID18",0.4067853768669,"adenoma","Crypt"
"B23_153_RE","ID18",0.833454861200703,"normal","Crypt"
"B26_115_DC","ID18",0.759091366055047,"adenoma","Crypt"
"B27_116_AS","ID18",0.506492384626004,"adenoma","Crypt"
"B28_31_TR","ID18",0.562958127848543,"adenoma","Crypt"
"B29_09_AS","ID18",0.640287575026751,"normal","Crypt"
"B3_084_DC","ID18",0.437731843115627,"adenoma","Crypt"
"B32_93_AS","ID18",0.440011303381674,"adenoma","Crypt"
"B33_153_AS","ID18",0.626431431177088,"normal","Crypt"
"B35_130_TR","ID18",0.343753463328673,"normal","Crypt"
"B38_180_SI","ID18",0.725919038400375,"normal","Crypt"
"B39_277_CE","ID18",0.806219809333096,"normal","Crypt"
"B4_076_SI","ID18",0.409337967043838,"adenoma","Crypt"
"B41_277_AC","ID18",0.602022275178288,"normal","Crypt"
"B42_277_RTM","ID18",0.814326951065516,"normal","Crypt"
"B43_273_AS","ID18",0.372183972960273,"normal","Crypt"
"B44_273_TR","ID18",0.397549463246164,"normal","Crypt"
"B45_273_SI","ID18",0.624517608007048,"normal","Crypt"
"B46_273_DE","ID18",0.418660034085775,"normal","Crypt"
"B47_273_RE","ID18",0.458457915461912,"normal","Crypt"
"B5_031_RE","ID18",0.899799279764933,"adenoma","Crypt"
"B6_153_SI","ID18",0.459109077099321,"normal","Crypt"
