"name","Signature","value","injection","method"
"029_DC_T","ID18",23.3908080817464,"adenoma","Crypt"
"030_CE_T","ID18",39.3017123177481,"adenoma","Crypt"
"031_RE_T","ID18",87.1058015787181,"adenoma","Crypt"
"058_RE_T","ID18",24.7185737713205,"normal","Crypt"
"103_RE","ID18",65.9084996395348,"normal","Crypt"
"116_RE_T","ID18",140.811606732828,"adenoma","Crypt"
"116_TR","ID18",41.9646289255866,"adenoma","Crypt"
"12b_D12_84_TR","ID18",21.8284858787306,"adenoma","Crypt"
"148_SI","ID18",76.2983669870824,"normal","Crypt"
"17_27AS","ID18",11.1329875303854,"normal","Crypt"
"18_27RE","ID18",19.0478407824137,"normal","Crypt"
"19_27TR","ID18",3.51948464918428,"normal","Crypt"
"20_40DC","ID18",41.7053615036966,"normal","Crypt"
"21_116CE","ID18",21.7511144155901,"adenoma","Crypt"
"22_76TR","ID18",25.4033992795331,"adenoma","Crypt"
"23_180RE","ID18",106.991573360018,"normal","Crypt"
"24_130DC","ID18",31.2778236379838,"normal","Crypt"
"27_CE","ID18",7.81635937798091,"normal","Crypt"
"27_DC","ID18",7.12566050292414,"normal","Crypt"
"29_74TR","ID18",18.3061126753268,"adenoma","Crypt"
"29_CE","ID18",22.8758257283977,"adenoma","Crypt"
"30_130RE","ID18",47.3167226442717,"normal","Crypt"
"30_TR","ID18",24.9388847613748,"adenoma","Crypt"
"32_29TR","ID18",31.9268000860299,"adenoma","Crypt"
"33_130AS","ID18",30.1593805253908,"normal","Crypt"
"40_AS","ID18",50.8276377729517,"normal","Crypt"
"58_DC","ID18",29.107007034924,"normal","Crypt"
"58_TR","ID18",39.856356361735,"normal","Crypt"
"74_DC","ID18",33.54172150156,"adenoma","Crypt"
"A1__031_AS","ID18",22.29969386761,"adenoma","Crypt"
"A10__180_DC","ID18",48.2068354018167,"normal","Crypt"
"A13__148_AS","ID18",15.3293765174426,"normal","Crypt"
"A15__180_TR","ID18",28.5799576742314,"normal","Crypt"
"A16__084_CE","ID18",15.622892764198,"adenoma","Crypt"
"A2__148_CE","ID18",28.1930155499903,"normal","Crypt"
"A5__074_AS","ID18",14.2708898016549,"adenoma","Crypt"
"A6__103_CE","ID18",23.5429153641342,"normal","Crypt"
"A7__116_DC","ID18",37.4447613939951,"adenoma","Crypt"
"A8__093_SI","ID18",44.3994816827332,"adenoma","Crypt"
"A9_09_CE","ID18",25.8494850414837,"normal","Crypt"
"B1_115_SI","ID18",27.2231062175846,"adenoma","Crypt"
"B10_058_CE","ID18",23.1866221624412,"normal","Crypt"
"B12_180_AS","ID18",32.8254976484815,"normal","Crypt"
"B13_148_DC","ID18",35.8246709287015,"normal","Crypt"
"B14_031_CE","ID18",47.9820839411181,"adenoma","Crypt"
"B15_148_RE","ID18",199.249362208452,"normal","Crypt"
"B17_277_DC","ID18",69.8026024710104,"normal","Crypt"
"B18_115_TC","ID18",34.6546122170753,"adenoma","Crypt"
"B19_277_TC","ID18",56.9539608754083,"normal","Crypt"
"B2_116_RE","ID18",135.348567299029,"adenoma","Crypt"
"B20_273_CE","ID18",37.0201357499719,"normal","Crypt"
"B21_153_CE","ID18",78.5163631339021,"normal","Crypt"
"B22_93_TR","ID18",32.4280427579976,"adenoma","Crypt"
"B23_153_RE","ID18",143.523543100116,"normal","Crypt"
"B26_115_DC","ID18",43.6882259337393,"adenoma","Crypt"
"B27_116_AS","ID18",39.88898552334,"adenoma","Crypt"
"B28_31_TR","ID18",23.2313414441893,"adenoma","Crypt"
"B29_09_AS","ID18",37.4108329826099,"normal","Crypt"
"B3_084_DC","ID18",30.3799646445182,"adenoma","Crypt"
"B32_93_AS","ID18",32.8655678638282,"adenoma","Crypt"
"B33_153_AS","ID18",67.7369879108101,"normal","Crypt"
"B35_130_TR","ID18",21.7963532791076,"normal","Crypt"
"B38_180_SI","ID18",55.3288371803032,"normal","Crypt"
"B39_277_CE","ID18",61.5754789679041,"normal","Crypt"
"B4_076_SI","ID18",28.6581647573105,"adenoma","Crypt"
"B41_277_AC","ID18",55.1911118495546,"normal","Crypt"
"B42_277_RTM","ID18",154.806521096173,"normal","Crypt"
"B43_273_AS","ID18",34.7798139687378,"normal","Crypt"
"B44_273_TR","ID18",32.4294428497664,"normal","Crypt"
"B45_273_SI","ID18",78.3250928594291,"normal","Crypt"
"B46_273_DE","ID18",37.2092846380795,"normal","Crypt"
"B47_273_RE","ID18",47.2987301278248,"normal","Crypt"
"B5_031_RE","ID18",70.8877093017557,"adenoma","Crypt"
"B6_153_SI","ID18",47.8400078775831,"normal","Crypt"
"B7_030_DC","ID18",51.7483872779695,"adenoma","Crypt"
"B8_103_SI","ID18",37.8999345783656,"normal","Crypt"
"B9_115_RE","ID18",97.0808659354435,"adenoma","Crypt"
"C1_103_TR","ID18",14.2466146359069,"normal","Crypt"
"C10_93_CE","ID18",29.7747222704559,"adenoma","Crypt"
"C14_115_TR","ID18",31.3320874434571,"adenoma","Crypt"
"C15_277_TR","ID18",4.51986038999372,"normal","Crypt"
"C16_180_CE","ID18",43.1905872762074,"normal","Crypt"
"C17_93_AS","ID18",10.7503000372475,"adenoma","Crypt"
"C18_277_DE","ID18",83.8318158372904,"normal","Crypt"
"C22_19_SI","ID18",16.6280454961288,"adenoma","Crypt"
"C24_31_TR","ID18",29.3558142823863,"adenoma","Crypt"
"C3_103_DE","ID18",19.4359470413348,"normal","Crypt"
"C5_148_TR","ID18",10.8534011656984,"normal","Crypt"
"C6_153_RE","ID18",99.2277070342092,"normal","Crypt"
"D10_030_RE","ID18",12.7400182180574,"adenoma","Crypt"
"D11_153_DE","ID18",35.2612660169391,"normal","Crypt"
"D12_058_SI","ID18",23.7727933142964,"normal","Crypt"
"D13_076_RE","ID18",55.5948524563774,"adenoma","Crypt"
"D14_074_RE","ID18",36.034831740704,"adenoma","Crypt"
"D15_277_SI","ID18",46.8835381459961,"normal","Crypt"
"D15b_277_SI","ID18",19.9082394268555,"normal","Crypt"
"D16_040_SI","ID18",57.6263210678007,"normal","Crypt"
"D17_130_CE","ID18",15.0340649116549,"normal","Crypt"
"D18_153_TR","ID18",91.1834710138955,"normal","Crypt"
"D2_09_TR","ID18",42.2709823786017,"normal","Crypt"
"D20_153_SI","ID18",54.1825180688544,"normal","Crypt"
"D24_093_RE","ID18",221.190926298978,"adenoma","Crypt"
"D25_029_RE","ID18",16.1638732576452,"adenoma","Crypt"
"D26_084_SI","ID18",18.0283662245251,"adenoma","Crypt"
"D27_074_SI","ID18",14.0605259793804,"adenoma","Crypt"
"D29_030_AS","ID18",23.7055710131474,"adenoma","Crypt"
"D30_029_AS","ID18",24.309719463594,"adenoma","Crypt"
"D31_031_DE","ID18",37.8012457230673,"adenoma","Crypt"
"D32_076_CE","ID18",11.5482570950194,"adenoma","Crypt"
"D33_076_DE","ID18",0.800716358093759,"adenoma","Crypt"
"D4_19_TR","ID18",14.8381150037221,"adenoma","Crypt"
"D6_84_RE","ID18",165.443390081761,"adenoma","Crypt"
"D7_40_RE","ID18",79.6522276321222,"normal","Crypt"
"D8_076_AS","ID18",22.2808938152802,"adenoma","Crypt"
"D9_084_AS","ID18",14.401192883703,"adenoma","Crypt"
"HLS_1C_30_B5","ID18",62.5147583726878,"normal","Crypt"
"HLS_1C_30_D5","ID18",84.3239589408193,"normal","Crypt"
"HLS_1C_30_G5","ID18",67.2046515938143,"normal","Crypt"
"HLS_1C_30_H5","ID18",57.567287329126,"normal","Crypt"
"HLS_2C_30_D6","ID18",66.3246429175658,"normal","Crypt"
"HLS_2C_30_E6","ID18",64.2346708245373,"normal","Crypt"
"Laurel-1","ID18",41.5915446902094,"adenoma","Crypt"
"Laurel-10","ID18",36.4608961175246,"adenoma","Crypt"
"Laurel-11","ID18",2.40234007294385,"adenoma","Crypt"
"Laurel-12","ID18",25.171482465082,"adenoma","Crypt"
"Laurel-2","ID18",30.4589057252214,"adenoma","Crypt"
"Laurel-3","ID18",28.4743311439389,"adenoma","Crypt"
"Laurel-5","ID18",8.20896710299495,"adenoma","Crypt"
"Laurel-6","ID18",0,"adenoma","Crypt"
"Laurel-7","ID18",26.9340779457195,"adenoma","Crypt"
"Laurel-8","ID18",21.9461044391589,"adenoma","Crypt"
"PD28690bx_2_a5","ID18",46.2767517926768,"normal","Crypt"
"PD28690bx_2_d5","ID18",36.5141199958236,"normal","Crypt"
"PD28690cb_2_g1","ID18",29.5025078794755,"normal","Crypt"
"PD28690cb_2_g3","ID18",56.808989448281,"normal","Crypt"
"PD28690cb_2_h1","ID18",24.7030027505167,"normal","Crypt"
"PD28690cb_2_h3","ID18",83.0676105959968,"normal","Crypt"
"PD34199a_c17","ID18",26.671222279791,"normal","Crypt"
"PD34199a_c22","ID18",24.1360865046543,"normal","Crypt"
"PD34199a_c27","ID18",21.4534270607294,"normal","Crypt"
"PD34199a_c28","ID18",30.0297029026448,"normal","Crypt"
"PD34199a_c3","ID18",22.2623835838722,"normal","Crypt"
"PD34199a_c31","ID18",20.6943810830018,"normal","Crypt"
"PD34199a_c5","ID18",18.1500608145835,"normal","Crypt"
"PD34199a_c7","ID18",19.3989872589578,"normal","Crypt"
"PD34199a_s13","ID18",28.6510018480251,"normal","Crypt"
"PD34199a_s16","ID18",13.4131332050584,"normal","Crypt"
"PD34199a_s2","ID18",27.7224600090018,"normal","Crypt"
"PD34199a_s27","ID18",12.6008219472181,"normal","Crypt"
"PD34199a_s31","ID18",28.100046126746,"normal","Crypt"
"PD34199a_s4","ID18",19.7813338544552,"normal","Crypt"
"PD34199a_t14","ID18",23.3753668339702,"normal","Crypt"
"PD34199a_t16","ID18",19.9891293451125,"normal","Crypt"
"PD34199a_t18","ID18",38.9307665007601,"normal","Crypt"
"PD34199a_t22","ID18",14.9325947028219,"normal","Crypt"
"PD34199a_t24","ID18",22.6542275152937,"normal","Crypt"
"PD34199a_t28","ID18",15.5246646090508,"normal","Crypt"
"PD34199a_t31","ID18",31.7802408262883,"normal","Crypt"
"PD34202a_s12","ID18",20.9752929774322,"normal","Crypt"
"PD34202a_s15","ID18",9.23591090834566,"normal","Crypt"
"PD34202a_s27","ID18",7.72073510180949,"normal","Crypt"
"PD34202a_s41","ID18",13.4236729376966,"normal","Crypt"
"PD34202a_s43","ID18",14.7862189932848,"normal","Crypt"
"PD34202a_s9","ID18",10.3452419787568,"normal","Crypt"
"PD36719a_lo005","ID18",185.522107192031,"normal","Crypt"
"PD36719a_lo008","ID18",185.300031741506,"normal","Crypt"
"PD36719a_lo018","ID18",106.261831128683,"normal","Crypt"
"PD36719a_lo022","ID18",132.983189030989,"normal","Crypt"
"PD36719a_lo034","ID18",174.634695456689,"normal","Crypt"
"PD36719a_lo048","ID18",107.306763599,"normal","Crypt"
"PD36719a_lo049","ID18",192.245447439644,"normal","Crypt"
