"name","Signature","value","injection","method"
"029_DC_T","SBS88",0,"adenoma","Crypt"
"030_CE_T","SBS88",0,"adenoma","Crypt"
"031_RE_T","SBS88",43.7164069992287,"adenoma","Crypt"
"058_RE_T","SBS88",1.92847184953298,"normal","Crypt"
"103_RE","SBS88",86.4116953156776,"normal","Crypt"
"116_RE_T","SBS88",270.512414270693,"adenoma","Crypt"
"116_TR","SBS88",0,"adenoma","Crypt"
"12b_D12_84_TR","SBS88",0,"adenoma","Crypt"
"148_SI","SBS88",154.460159300984,"normal","Crypt"
"17_27AS","SBS88",0,"normal","Crypt"
"18_27RE","SBS88",14.3528267521387,"normal","Crypt"
"19_27TR","SBS88",0,"normal","Crypt"
"20_40DC","SBS88",0,"normal","Crypt"
"21_116CE","SBS88",0,"adenoma","Crypt"
"22_76TR","SBS88",0,"adenoma","Crypt"
"23_180RE","SBS88",212.656690503254,"normal","Crypt"
"24_130DC","SBS88",10.9057181649941,"normal","Crypt"
"27_CE","SBS88",0,"normal","Crypt"
"27_DC","SBS88",0,"normal","Crypt"
"29_74TR","SBS88",0,"adenoma","Crypt"
"29_CE","SBS88",0,"adenoma","Crypt"
"30_130RE","SBS88",34.5045184293848,"normal","Crypt"
"30_TR","SBS88",13.5627054001793,"adenoma","Crypt"
"32_29TR","SBS88",0,"adenoma","Crypt"
"33_130AS","SBS88",0,"normal","Crypt"
"40_AS","SBS88",0,"normal","Crypt"
"58_DC","SBS88",0.797345883446596,"normal","Crypt"
"58_TR","SBS88",50.521383448431,"normal","Crypt"
"74_DC","SBS88",21.8128106012725,"adenoma","Crypt"
"A1__031_AS","SBS88",0,"adenoma","Crypt"
"A10__180_DC","SBS88",0,"normal","Crypt"
"A13__148_AS","SBS88",0,"normal","Crypt"
"A15__180_TR","SBS88",0,"normal","Crypt"
"A16__084_CE","SBS88",0,"adenoma","Crypt"
"A2__148_CE","SBS88",16.4604226628773,"normal","Crypt"
"A5__074_AS","SBS88",0,"adenoma","Crypt"
"A6__103_CE","SBS88",0,"normal","Crypt"
"A7__116_DC","SBS88",0,"adenoma","Crypt"
"A8__093_SI","SBS88",0,"adenoma","Crypt"
"A9_09_CE","SBS88",0,"normal","Crypt"
"B1_115_SI","SBS88",27.3542042841204,"adenoma","Crypt"
