"name","n_AA"
"058_RE_T",66
"103_RE",177
"148_SI",145
"17_27AS",20
"18_27RE",48
"19_27TR",14
"20_40DC",76
"23_180RE",257
"24_130DC",76
"27_CE",31
"27_DC",30
"30_130RE",110
"33_130AS",51
"40_AS",62
"58_DC",80
"58_TR",84
"A10__180_DC",81
"A13__148_AS",34
"A15__180_TR",52
"A2__148_CE",63
"A6__103_CE",49
"A9_09_CE",45
"B10_058_CE",51
"B12_180_AS",86
"B13_148_DC",106
"B15_148_RE",366
"B17_277_DC",226
"B19_277_TC",189
"B20_273_CE",51
"B21_153_CE",168
"B23_153_RE",516
"B29_09_AS",104
"B33_153_AS",217
"B35_130_TR",63
"B38_180_SI",94
"B39_277_CE",162
"B41_277_AC",111
"B42_277_RTM",318
"B43_273_AS",48
"B44_273_TR",42
"B45_273_SI",130
"B46_273_DE",51
"B47_273_RE",75
"B6_153_SI",69
"B8_103_SI",107
"C1_103_TR",75
"C15_277_TR",12
"C16_180_CE",109
"C18_277_DE",194
"C3_103_DE",37
"C5_148_TR",18
"C6_153_RE",267
"D11_153_DE",23
"D12_058_SI",20
"D15_277_SI",61
"D15b_277_SI",49
"D16_040_SI",126
"D17_130_CE",41
"D18_153_TR",374
"D2_09_TR",98
"D20_153_SI",42
"D7_40_RE",162
"HLS_1C_30_B5",284
"HLS_1C_30_D5",285
"HLS_1C_30_G5",313
"HLS_1C_30_H5",146
"HLS_2C_30_D6",253
"HLS_2C_30_E6",192
"PD28690bx_2_a5",83
"PD28690bx_2_d5",87
"PD28690cb_2_g1",52
"PD28690cb_2_g3",142
"PD28690cb_2_h1",73
"PD28690cb_2_h3",159
"PD34199a_c17",30
"PD34199a_c22",25
"PD34199a_c27",34
"PD34199a_c28",34
"PD34199a_c3",35
"PD34199a_c31",26
"PD34199a_c5",14
"PD34199a_c7",24
"PD34199a_s13",30
"PD34199a_s16",30
"PD34199a_s2",38
"PD34199a_s27",26
"PD34199a_s31",19
"PD34199a_s4",36
"PD34199a_t14",21
"PD34199a_t16",26
"PD34199a_t18",29
"PD34199a_t22",42
"PD34199a_t24",32
"PD34199a_t28",25
"PD34199a_t31",55
"PD34202a_s12",51
"PD34202a_s15",16
"PD34202a_s27",20
"PD34202a_s41",13
"PD34202a_s43",24
"PD34202a_s9",32
"PD36719a_lo005",304
"PD36719a_lo008",363
"PD36719a_lo018",204
"PD36719a_lo022",277
"PD36719a_lo034",291
"PD36719a_lo048",275
"PD36719a_lo049",427
"PD36719a_lo066",168
"PD36719a_lo072",174
"PD36813aa",47
"PD36813aa11",54
"PD36813aa12",74
"PD36813aa16",75
"PD36813aa2",69
"PD36813aa7",77
"PD36813ab10",58
"PD36813ab4",41
"PD36813ab5",47
