"sample","Signature","ID18_refit_coding","injection","method"
"029_DC_T","ID18",0.841281967625813,"adenoma","Crypt"
"030_CE_T","ID18",1,"adenoma","Crypt"
"031_RE_T","ID18",1,"adenoma","Crypt"
"103_RE","ID18",1,"normal","Crypt"
"17_27AS","ID18",0.995889654992844,"normal","Crypt"
"21_116CE","ID18",0.922667652394483,"adenoma","Crypt"
"22_76TR","ID18",1,"adenoma","Crypt"
"23_180RE","ID18",0.997973839568768,"normal","Crypt"
"24_130DC","ID18",0.948265946879744,"normal","Crypt"
"30_130RE","ID18",1,"normal","Crypt"
"32_29TR","ID18",0,"adenoma","Crypt"
"33_130AS","ID18",0.999276196386323,"normal","Crypt"
"40_AS","ID18",1,"normal","Crypt"
"74_DC","ID18",0.551018525326574,"adenoma","Crypt"
"A10__180_DC","ID18",0.00263319900133099,"normal","Crypt"
"A15__180_TR","ID18",1,"normal","Crypt"
"A16__084_CE","ID18",0.838646610313175,"adenoma","Crypt"
"A6__103_CE","ID18",1,"normal","Crypt"
"A7__116_DC","ID18",0.474437289146934,"adenoma","Crypt"
"B12_180_AS","ID18",1,"normal","Crypt"
"B15_148_RE","ID18",1,"normal","Crypt"
"B17_277_DC","ID18",1,"normal","Crypt"
"B18_115_TC","ID18",0,"adenoma","Crypt"
"B19_277_TC","ID18",0.152486957239913,"normal","Crypt"
"B2_116_RE","ID18",0.949858005432401,"adenoma","Crypt"
"B20_273_CE","ID18",0.384197383896593,"normal","Crypt"
"B21_153_CE","ID18",0,"normal","Crypt"
"B22_93_TR","ID18",1,"adenoma","Crypt"
"B23_153_RE","ID18",0.140393548218985,"normal","Crypt"
"B26_115_DC","ID18",1,"adenoma","Crypt"
"B27_116_AS","ID18",1,"adenoma","Crypt"
"B28_31_TR","ID18",0.997446746596881,"adenoma","Crypt"
"B3_084_DC","ID18",1,"adenoma","Crypt"
"B32_93_AS","ID18",1,"adenoma","Crypt"
"B4_076_SI","ID18",0,"adenoma","Crypt"
"B41_277_AC","ID18",0.140393548218985,"normal","Crypt"
"B43_273_AS","ID18",0,"normal","Crypt"
"B44_273_TR","ID18",0.140393548218985,"normal","Crypt"
"B45_273_SI","ID18",0,"normal","Crypt"
"B46_273_DE","ID18",0.989337850896947,"normal","Crypt"
"B47_273_RE","ID18",0,"normal","Crypt"
"B5_031_RE","ID18",0.948265946879744,"adenoma","Crypt"
"B6_153_SI","ID18",1,"normal","Crypt"
"B7_030_DC","ID18",1,"adenoma","Crypt"
"B9_115_RE","ID18",0,"adenoma","Crypt"
"C1_103_TR","ID18",0.140393548218985,"normal","Crypt"
"C10_93_CE","ID18",0.995889654992844,"adenoma","Crypt"
"C14_115_TR","ID18",1,"adenoma","Crypt"
"C22_19_SI","ID18",0.995889654992844,"adenoma","Crypt"
"C3_103_DE","ID18",0.991211913011111,"normal","Crypt"
"C6_153_RE","ID18",1,"normal","Crypt"
"D15b_277_SI","ID18",0.949858005432401,"normal","Crypt"
