"name","Signature","value","injection","method"
"029_DC_T","ID18",0.364341788563441,"adenoma","Crypt"
"030_CE_T","ID18",0.312134748092935,"adenoma","Crypt"
"031_RE_T","ID18",0.863614907086474,"adenoma","Crypt"
"058_RE_T","ID18",0.552208745936567,"normal","Crypt"
"103_RE","ID18",0.687627674792073,"normal","Crypt"
"116_RE_T","ID18",0.837537644702239,"adenoma","Crypt"
"116_TR","ID18",0.541230158474466,"adenoma","Crypt"
"12b_D12_84_TR","ID18",0.517858240392015,"adenoma","Crypt"
"148_SI","ID18",0.67369166276992,"normal","Crypt"
"17_27AS","ID18",0.233503913505395,"normal","Crypt"
"18_27RE","ID18",0.280030189647355,"normal","Crypt"
"19_27TR","ID18",0.147958722528315,"normal","Crypt"
"20_40DC","ID18",0.552557815949332,"normal","Crypt"
"21_116CE","ID18",0.368913198006451,"adenoma","Crypt"
"22_76TR","ID18",0.474817007604982,"adenoma","Crypt"
"23_180RE","ID18",0.690321604797341,"normal","Crypt"
"24_130DC","ID18",0.430352659267669,"normal","Crypt"
"27_CE","ID18",0.382732789048612,"normal","Crypt"
"27_DC","ID18",0.187236396902922,"normal","Crypt"
"29_74TR","ID18",0.505958892357879,"adenoma","Crypt"
"29_CE","ID18",0.372193174447457,"adenoma","Crypt"
"30_130RE","ID18",0.570729113723623,"normal","Crypt"
"30_TR","ID18",0.538719254668618,"adenoma","Crypt"
"32_29TR","ID18",0.599158438827263,"adenoma","Crypt"
"33_130AS","ID18",0.578181280723041,"normal","Crypt"
"40_AS","ID18",0.634191785503119,"normal","Crypt"
"58_DC","ID18",0.255401655116609,"normal","Crypt"
"58_TR","ID18",0.448438389577021,"normal","Crypt"
"74_DC","ID18",0.485057969294992,"adenoma","Crypt"
"A1__031_AS","ID18",0.520839850644233,"adenoma","Crypt"
"A10__180_DC","ID18",0.494881460858014,"normal","Crypt"
"A13__148_AS","ID18",0.669395644007197,"normal","Crypt"
"A15__180_TR","ID18",0.717548625961439,"normal","Crypt"
"A16__084_CE","ID18",0.692659795360226,"adenoma","Crypt"
"A2__148_CE","ID18",0.544241019449548,"normal","Crypt"
"A5__074_AS","ID18",0.186238953054093,"adenoma","Crypt"
"A6__103_CE","ID18",0.447540840165191,"normal","Crypt"
"A7__116_DC","ID18",0.490910602233968,"adenoma","Crypt"
"A8__093_SI","ID18",0.743740606417513,"adenoma","Crypt"
"A9_09_CE","ID18",0.462673951326809,"normal","Crypt"
"B1_115_SI","ID18",0.51508884266213,"adenoma","Crypt"
"B10_058_CE","ID18",0.42723673114806,"normal","Crypt"
"B12_180_AS","ID18",0.496571622490847,"normal","Crypt"
"B13_148_DC","ID18",0.441084446763269,"normal","Crypt"
"B14_031_CE","ID18",0.62684873926976,"adenoma","Crypt"
"B15_148_RE","ID18",0.862739131297309,"normal","Crypt"
