"sample","n_with_driver_gene_coding","driver_coding_snv","n_with_driver_gene_id","driver_gene_id","n_with_driver_gene_snv","driver_genes_snv","total_coding_indels","in_pks_motif_coding","fraction_pksmotif_coding","total_indels_genic","in_pks_motif_genic","fraction_pksmotif_genic","n_AA_genic","n_with_gene_snv","Signature.x","ID18_refit_coding","injection.x","method.x","Signature.y","ID18_refit_genic","injection.y","method.y","Signature.x","SBS88_refit_coding","injection.x","method.x","Signature.y","SBS88_refit_genic","injection.y","method.y","n_AA_coding","n_with_coding_snv"
"029_DC_T",0,"0",0,"0",2,"BCL9;LRP1B",1,0,0,52,5,0.0961538461538462,20,410,"ID18",0.841281967625813,"adenoma","Crypt","ID18",0.364341788563441,"adenoma","Crypt","SBS88",0,"adenoma","Crypt","SBS88",0,"adenoma","Crypt",0,0
"030_CE_T",0,"0",2,"AXIN2;DCC",3,"ERBB4;CSMD3;FUS",3,0,0,110,15,0.136363636363636,16,598,"ID18",1,"adenoma","Crypt","ID18",0.312134748092935,"adenoma","Crypt","SBS88",0,"adenoma","Crypt","SBS88",0,"adenoma","Crypt",0,0
"031_RE_T",0,"0",0,"0",2,"LRP1B;DCC",2,0,0,71,21,0.295774647887324,30,430,"ID18",1,"adenoma","Crypt","ID18",0.863614907086474,"adenoma","Crypt","SBS88",0,"adenoma","Crypt","SBS88",0.0362527730254724,"adenoma","Crypt",0,0
"058_RE_T",0,"0",0,"0",2,"LRP1B;DCC",0,0,0,53,12,0.226415094339623,15,325,"0",0,"0","0","ID18",0.552208745936567,"normal","Crypt","SBS88",0,"normal","Crypt","SBS88",0,"normal","Crypt",0,0
"103_RE",1,"BAX",1,"FAT4",4,"ALK;LRP1B;AKAP9;BAX",1,0,0,89,31,0.348314606741573,48,504,"ID18",1,"normal","Crypt","ID18",0.687627674792073,"normal","Crypt","SBS88",0,"normal","Crypt","SBS88",0.070442264545512,"normal","Crypt",0,0
"116_RE_T",0,"0",1,"ELF3",6,"LRP1B;FHIT;CCND3;FLT3;AR",0,0,0,145,60,0.413793103448276,70,639,"0",0,"0","0","ID18",0.837537644702239,"adenoma","Crypt","SBS88",0.218341281915986,"adenoma","Crypt","SBS88",0.156954405197986,"adenoma","Crypt",1,19
"116_TR",0,"0",2,"CAMTA1;CSMD3",3,"BIRC6;CSMD3;ERG",0,0,0,84,12,0.142857142857143,18,422,"0",0,"0","0","ID18",0.541230158474466,"adenoma","Crypt","SBS88",0,"adenoma","Crypt","SBS88",0,"adenoma","Crypt",0,0
"12b_D12_84_TR",0,"0",0,"0",3,"ALK;ACVR2A",0,0,0,56,7,0.125,13,400,"0",0,"0","0","ID18",0.517858240392015,"adenoma","Crypt","SBS88",0,"adenoma","Crypt","SBS88",0,"adenoma","Crypt",0,0
"148_SI",0,"0",1,"ERG",6,"ALK;LRP1B;ERBB4;FHIT;EPHA3;GRIN2A",0,0,0,90,38,0.422222222222222,35,326,"0",0,"0","0","ID18",0.67369166276992,"normal","Crypt","SBS88",0,"normal","Crypt","SBS88",0.146749568081951,"normal","Crypt",0,0
"17_27AS",0,"0",0,"0",2,"CSMD3",1,0,0,28,7,0.25,4,226,"ID18",0.995889654992844,"normal","Crypt","ID18",0.233503913505395,"normal","Crypt","SBS88",0,"normal","Crypt","SBS88",0,"normal","Crypt",0,0
