"sample","n_with_driver_gene_id","driver_gene_id"
"029_DC_T",0,NA
"030_CE_T",2,"AXIN2;DCC"
"031_RE_T",0,NA
"058_RE_T",0,NA
"103_RE",1,"FAT4"
"116_RE_T",1,"ELF3"
"116_TR",2,"CAMTA1;CSMD3"
"12b_D12_84_TR",0,NA
"148_SI",1,"ERG"
"17_27AS",0,NA
"18_27RE",0,NA
"19_27TR",0,NA
"20_40DC",0,NA
"21_116CE",1,"FAT3"
"22_76TR",2,"ERBB4;AKAP9"
"23_180RE",1,"DCC"
"24_130DC",3,"LRP1B;CSMD3"
"27_CE",1,"CHD2"
"27_DC",0,NA
"29_74TR",0,NA
"29_CE",1,"CAMTA1"
"30_130RE",1,"EPHA3"
"30_TR",0,NA
"32_29TR",1,"ARID1B"
"33_130AS",0,NA
"40_AS",3,"CTNNA2;FHIT;CSMD3"
"58_DC",1,"DCC"
"58_TR",0,NA
"74_DC",0,NA
"A1__031_AS",1,"CSMD3"
"A10__180_DC",0,NA
"A13__148_AS",0,NA
"A15__180_TR",0,NA
"A16__084_CE",1,"FOXP1"
"A2__148_CE",2,"LRP1B;EPHA3"
"A5__074_AS",0,NA
"A6__103_CE",0,NA
"A7__116_DC",0,NA
"A8__093_SI",0,NA
"A9_09_CE",0,NA
"B1_115_SI",0,NA
"B10_058_CE",0,NA
"B12_180_AS",0,NA
"B13_148_DC",0,NA
"B14_031_CE",0,NA
"B15_148_RE",1,"FAT3"
"B17_277_DC",0,NA
"B18_115_TC",0,NA
"B19_277_TC",1,"CSMD3"
"B2_116_RE",1,"CTNNA2"
"B20_273_CE",2,"BCOR;BCORL1"
"B21_153_CE",3,"BIRC6;GNAQ;AXIN2"
"B22_93_TR",0,NA
"B23_153_RE",1,"LRP1B"
"B26_115_DC",1,"CTNNA2"
"B27_116_AS",1,"ARID1A"
"B28_31_TR",1,"ETV1"
"B29_09_AS",1,"CTNNA2"
"B3_084_DC",3,"CTNNA2;ERBB4;CCND3"
