"sample","n_with_driver_gene_snv","driver_genes_snv"
"029_DC_T",2,"BCL9;LRP1B"
"030_CE_T",3,"ERBB4;CSMD3;FUS"
"031_RE_T",2,"LRP1B;DCC"
"058_RE_T",2,"LRP1B;DCC"
"103_RE",4,"ALK;LRP1B;AKAP9;BAX"
"116_RE_T",6,"LRP1B;FHIT;CCND3;FLT3;AR"
"116_TR",3,"BIRC6;CSMD3;ERG"
"12b_D12_84_TR",3,"ALK;ACVR2A"
"148_SI",6,"ALK;LRP1B;ERBB4;FHIT;EPHA3;GRIN2A"
"17_27AS",2,"CSMD3"
"18_27RE",1,"FGFR2"
"19_27TR",2,"FLT3;KDM6A"
"20_40DC",5,"LRP1B;EPHA7;KMT2C;CSMD3"
"21_116CE",7,"LRP1B;FOXO3;CSMD3;FAM135B;FAT3;CDKN1B"
"22_76TR",9,"CTNNA2;LRP1B;IDH1;FOXP1;CSMD3;FAM135B;DCC;ERG"
"23_180RE",5,"ALK;LRP1B;ACVR1;EPHA3;AXIN1"
"24_130DC",10,"ALK;LRP1B;ERBB4;FHIT;FAT3;ASXL1"
"27_CE",3,"DDR2;ALK;DCC"
"27_DC",1,"LRP1B"
"29_74TR",3,"ALK;LRP1B;FBXW7"
"29_CE",3,"CTNNA2;GRIN2A;DCC"
"30_130RE",8,"BIRC6;LRP1B;EPHA3;ERG;KDM6A"
"30_TR",6,"DDR2;ALK;LRP1B;CDH11;DCC"
"32_29TR",3,"ERBB4;FOXO3;FAM135B"
"33_130AS",8,"CAMTA1;CTNNA2;FHIT;EPHA3;CSMD3;ATM;ARID2;DCC"
"40_AS",4,"ALK;FBXW7;ETV1;FAT3"
"58_DC",8,"LRP1B;ERBB4;CTNNB1;EGFR;CSMD3;ARID2;GRIN2A;DCC"
"58_TR",1,"ARID1B"
"74_DC",3,"ALK;FAT3;DCC"
"A1__031_AS",6,"ALK;ARID1B;ETV1;FGFR2;CDH11;DCC"
"A10__180_DC",3,"FHIT;ANK1;GRIN2A"
"A13__148_AS",5,"CTNNA2;ERBB4;FHIT;CSMD3;DCC"
"A15__180_TR",3,"IL7R;ETV1;AKAP9"
"A16__084_CE",4,"CAMTA1;AKAP9;FGFR2;ATM"
"A2__148_CE",2,"ARID1A;CTNNA2"
"A5__074_AS",8,"CTNNA2;LRP1B;LEF1;ARID1B;CSMD3;FAT3"
"A6__103_CE",10,"DNMT3A;ALK;LRP1B;FHIT;CSMD3;GRIN2A;DCC"
"A7__116_DC",7,"CTNNA2;LRP1B;ERBB4;EPHA3;ARID1B;CLTCL1"
"A8__093_SI",6,"ALK;CTNNA2;LRP1B;CDK12;DCC"
"A9_09_CE",3,"FHIT;FOXO3;KMT2C"
"B1_115_SI",8,"ALK;LRP1B;ARID1B;ETV1;CSMD3;GNAQ;FAT3"
"B10_058_CE",4,"CAMTA1;FHIT;FAT4;CSMD3"
"B12_180_AS",6,"CTNNA2;EPHA3;BRAF;CDK12;DCC"
"B13_148_DC",3,"LRP1B;CSMD3;GNAQ"
"B14_031_CE",8,"CAMTA1;ALK;LRP1B;FHIT;FAT4;GRIN2A"
"B15_148_RE",7,"LRP1B;CSMD3;GNAQ;DCC;ERG"
"B17_277_DC",5,"CTNNA2;LRP1B;ERBB4"
"B18_115_TC",2,"CTNNA2;CLTCL1"
"B19_277_TC",9,"CAMTA1;ALK;LRP1B;CSMD3;CDH11;DCC"
"B2_116_RE",4,"CTNNA2;LRP1B;AXIN2"
"B20_273_CE",10,"CAMTA1;ALK;LRP1B;ERBB4;FHIT;ETV1;CSMD3;GNAQ;GRIN2A"
"B21_153_CE",7,"ALK;LRP1B;ARID1B;CSMD3"
"B22_93_TR",6,"FHIT;FAT4;CTNND1;GRIN2A;DCC"
"B23_153_RE",8,"BIRC6;FHIT;KMT2C;CSMD3;ERG"
"B26_115_DC",5,"ALK;FAT4;ARID1B;KMT2C;CREBBP"
"B27_116_AS",7,"LRP1B;ERBB4;CSMD3;FAT3"
"B28_31_TR",4,"ARID1B;CSMD3;FAM135B"
"B29_09_AS",10,"LRP1B;FAT4;CSMD3;CDKN2A;GNAQ;DCC"
"B3_084_DC",6,"ALK;LRP1B;GNAQ;ERBB2;DCC"
"B32_93_AS",5,"LRP1B;ERBB4;EPHA3;FAT4;FAT3"
"B33_153_AS",4,"BIRC6;LRP1B;FHIT;CSMD3"
"B35_130_TR",9,"CAMTA1;ALK;ERBB4;LEF1;BRAF;ANK1;CSMD3;CHD2;DCC"
"B38_180_SI",6,"ALK;CTNNA2;FHIT;DCC"
"B39_277_CE",7,"FHIT;FAT4;BRAF;ANK1;CSMD3"
"B4_076_SI",8,"ALK;LRP1B;ERBB4;EPHA3;IRF4;BRAF;CSMD3"
"B41_277_AC",6,"DDR2;CTNNA2;EPHA3;CSMD3;FAT3;DCC"
