"sample","total_coding_indels","in_pks_motif_coding","fraction_pksmotif_coding"
"029_DC_T",1,0,0
"030_CE_T",3,0,0
"031_RE_T",2,0,0
"058_RE_T",0,0,NA
"103_RE",1,0,0
"116_RE_T",0,0,NA
"116_TR",0,0,NA
"12b_D12_84_TR",0,0,NA
"148_SI",0,0,NA
"17_27AS",1,0,0
"18_27RE",0,0,NA
"19_27TR",0,0,NA
"20_40DC",0,0,NA
"21_116CE",1,0,0
"22_76TR",3,0,0
"23_180RE",2,0,0
"24_130DC",1,0,0
"27_CE",0,0,NA
"27_DC",0,0,NA
"29_74TR",0,0,NA
"29_CE",0,0,NA
"30_130RE",2,0,0
"30_TR",0,0,NA
"32_29TR",1,0,0
"33_130AS",3,0,0
"40_AS",1,0,0
"58_DC",0,0,NA
"58_TR",0,0,NA
"74_DC",2,0,0
"A1__031_AS",0,0,NA
"A10__180_DC",2,0,0
"A13__148_AS",0,0,NA
"A15__180_TR",4,0,0
"A16__084_CE",2,0,0
"A2__148_CE",0,0,NA
"A5__074_AS",0,0,NA
"A6__103_CE",1,0,0
"A7__116_DC",4,0,0
"A8__093_SI",0,0,NA
"A9_09_CE",0,0,NA
"B1_115_SI",0,0,NA
"B10_058_CE",0,0,NA
"B12_180_AS",3,0,0
"B13_148_DC",0,0,NA
"B14_031_CE",0,0,NA
"B15_148_RE",1,1,1
"B17_277_DC",1,0,0
"B18_115_TC",1,0,0
"B19_277_TC",2,0,0
"B2_116_RE",1,0,0
"B20_273_CE",3,0,0
"B21_153_CE",2,0,0
"B22_93_TR",1,0,0
"B23_153_RE",2,0,0
"B26_115_DC",1,0,0
"B27_116_AS",1,0,0
"B28_31_TR",2,0,0
"B29_09_AS",0,0,NA
"B3_084_DC",2,0,0
"B32_93_AS",1,0,0
"B33_153_AS",0,0,NA
"B35_130_TR",0,0,NA
"B38_180_SI",0,0,NA
"B39_277_CE",0,0,NA
"B4_076_SI",2,0,0
"B41_277_AC",1,0,0
"B42_277_RTM",0,0,NA
"B43_273_AS",1,0,0
"B44_273_TR",1,0,0
"B45_273_SI",2,1,0.5
"B46_273_DE",5,0,0
"B47_273_RE",1,0,0
"B5_031_RE",1,0,0
"B6_153_SI",2,0,0
"B7_030_DC",1,0,0
"B8_103_SI",0,0,NA
"B9_115_RE",1,0,0
"C1_103_TR",1,0,0
"C10_93_CE",1,0,0
"C14_115_TR",3,0,0
"C15_277_TR",0,0,NA
"C16_180_CE",0,0,NA
"C17_93_AS",0,0,NA
"C18_277_DE",0,0,NA
"C22_19_SI",1,0,0
"C24_31_TR",0,0,NA
"C3_103_DE",2,0,0
"C5_148_TR",0,0,NA
"C6_153_RE",3,0,0
"D10_030_RE",0,0,NA
"D11_153_DE",0,0,NA
"D12_058_SI",0,0,NA
"D13_076_RE",0,0,NA
"D14_074_RE",0,0,NA
"D15_277_SI",0,0,NA
"D15b_277_SI",1,0,0
"D16_040_SI",1,0,0
"D17_130_CE",0,0,NA
"D18_153_TR",4,0,0
"D2_09_TR",2,0,0
"D20_153_SI",1,0,0
"D24_093_RE",2,1,0.5
"D25_029_RE",0,0,NA
"D26_084_SI",0,0,NA
"D27_074_SI",1,0,0
"D29_030_AS",1,0,0
"D30_029_AS",0,0,NA
"D31_031_DE",0,0,NA
"D32_076_CE",0,0,NA
"D33_076_DE",1,0,0
"D4_19_TR",2,0,0
"D6_84_RE",0,0,NA
"D7_40_RE",1,0,0
"D8_076_AS",0,0,NA
"D9_084_AS",0,0,NA
"HLS_1C_30_B5",4,0,0
"HLS_1C_30_D5",4,1,0.25
"HLS_1C_30_G5",2,0,0
"HLS_1C_30_H5",3,1,0.333333333333333
"HLS_2C_30_D6",0,0,NA
"HLS_2C_30_E6",0,0,NA
"Laurel-1",2,0,0
"Laurel-10",1,0,0
"Laurel-11",0,0,NA
"Laurel-12",1,0,0
"Laurel-2",2,0,0
"Laurel-3",1,0,0
