"","total_indels","in_pks_motif","fraction_pksmotif"
"029_DC_T",52,5,0.0961538461538462
"030_CE_T",110,15,0.136363636363636
"031_RE_T",71,21,0.295774647887324
"058_RE_T",53,12,0.226415094339623
"103_RE",89,31,0.348314606741573
"116_RE_T",145,60,0.413793103448276
"116_TR",84,12,0.142857142857143
"12b_D12_84_TR",56,7,0.125
"148_SI",90,38,0.422222222222222
"17_27AS",28,7,0.25
"18_27RE",46,13,0.282608695652174
"19_27TR",17,3,0.176470588235294
"20_40DC",76,12,0.157894736842105
"21_116CE",79,9,0.113924050632911
"22_76TR",62,9,0.145161290322581
"23_180RE",110,43,0.390909090909091
"24_130DC",78,9,0.115384615384615
"27_CE",26,4,0.153846153846154
"27_DC",25,3,0.12
"29_74TR",47,8,0.170212765957447
"29_CE",63,5,0.0793650793650794
"30_130RE",73,17,0.232876712328767
"30_TR",55,10,0.181818181818182
"32_29TR",62,3,0.0483870967741935
"33_130AS",79,12,0.151898734177215
"40_AS",98,10,0.102040816326531
"58_DC",62,17,0.274193548387097
"58_TR",55,12,0.218181818181818
"74_DC",49,23,0.469387755102041
"A1__031_AS",42,10,0.238095238095238
"A10__180_DC",70,13,0.185714285714286
"A13__148_AS",31,3,0.0967741935483871
"A15__180_TR",60,5,0.0833333333333333
"A16__084_CE",39,2,0.0512820512820513
"A2__148_CE",45,12,0.266666666666667
"A5__074_AS",41,11,0.268292682926829
"A6__103_CE",59,13,0.220338983050847
"A7__116_DC",68,9,0.132352941176471
"A8__093_SI",75,8,0.106666666666667
"A9_09_CE",55,9,0.163636363636364
"B1_115_SI",59,10,0.169491525423729
"B10_058_CE",54,13,0.240740740740741
"B12_180_AS",76,13,0.171052631578947
"B13_148_DC",54,16,0.296296296296296
"B14_031_CE",82,11,0.134146341463415
"B15_148_RE",119,70,0.588235294117647
"B17_277_DC",75,20,0.266666666666667
"B18_115_TC",57,3,0.0526315789473684
"B19_277_TC",83,23,0.27710843373494
"B2_116_RE",95,51,0.536842105263158
"B20_273_CE",75,9,0.12
"B21_153_CE",104,35,0.336538461538462
"B22_93_TR",89,11,0.123595505617978
"B23_153_RE",103,47,0.456310679611651
"B26_115_DC",56,10,0.178571428571429
"B27_116_AS",85,16,0.188235294117647
"B28_31_TR",63,3,0.0476190476190476
"B29_09_AS",76,13,0.171052631578947
"B3_084_DC",62,14,0.225806451612903
"B32_93_AS",90,7,0.0777777777777778
"B33_153_AS",91,25,0.274725274725275
"B35_130_TR",75,7,0.0933333333333333
"B38_180_SI",56,14,0.25
"B39_277_CE",63,24,0.380952380952381
"B4_076_SI",81,6,0.0740740740740741
"B41_277_AC",80,18,0.225
"B42_277_RTM",110,44,0.4
"B43_273_AS",90,21,0.233333333333333
"B44_273_TR",86,13,0.151162790697674
"B45_273_SI",90,31,0.344444444444444
"B46_273_DE",87,22,0.252873563218391
"B47_273_RE",102,14,0.137254901960784
"B5_031_RE",68,13,0.191176470588235
"B6_153_SI",108,20,0.185185185185185
"B7_030_DC",62,7,0.112903225806452
"B8_103_SI",74,19,0.256756756756757
"B9_115_RE",79,32,0.40506329113924
"C1_103_TR",68,6,0.0882352941176471
"C10_93_CE",67,10,0.149253731343284
"C14_115_TR",62,5,0.0806451612903226
"C15_277_TR",5,0,0
"C16_180_CE",86,9,0.104651162790698
"C17_93_AS",35,3,0.0857142857142857
"C18_277_DE",67,21,0.313432835820896
"C22_19_SI",49,8,0.163265306122449
"C24_31_TR",53,10,0.188679245283019
"C3_103_DE",42,6,0.142857142857143
"C5_148_TR",47,4,0.0851063829787234
"C6_153_RE",114,39,0.342105263157895
"D10_030_RE",39,2,0.0512820512820513
"D11_153_DE",63,4,0.0634920634920635
"D12_058_SI",40,1,0.025
"D13_076_RE",65,14,0.215384615384615
"D14_074_RE",51,15,0.294117647058824
"D15_277_SI",59,9,0.152542372881356
"D15b_277_SI",40,7,0.175
"D16_040_SI",95,16,0.168421052631579
"D17_130_CE",41,3,0.0731707317073171
"D18_153_TR",125,38,0.304
"D2_09_TR",98,22,0.224489795918367
"D20_153_SI",120,27,0.225
"D24_093_RE",130,90,0.692307692307692
"D25_029_RE",31,7,0.225806451612903
"D26_084_SI",27,7,0.259259259259259
"D27_074_SI",27,6,0.222222222222222
"D29_030_AS",61,8,0.131147540983607
"D30_029_AS",62,6,0.0967741935483871
"D31_031_DE",60,10,0.166666666666667
"D32_076_CE",25,4,0.16
"D33_076_DE",3,0,0
"D4_19_TR",61,3,0.0491803278688525
"D6_84_RE",103,58,0.563106796116505
"D7_40_RE",58,21,0.362068965517241
