"name","n_AA","n_with_gene"
"029_DC_T",20,410
"030_CE_T",16,598
"031_RE_T",30,430
"058_RE_T",15,325
"103_RE",48,504
"116_RE_T",70,639
"116_TR",18,422
"12b_D12_84_TR",13,400
"148_SI",35,326
"17_27AS",4,226
"18_27RE",9,167
"19_27TR",3,164
"20_40DC",19,483
"21_116CE",18,422
"22_76TR",21,565
"23_180RE",50,543
"24_130DC",16,500
"27_CE",8,182
"27_DC",7,190
"29_74TR",6,335
"29_CE",9,411
"30_130RE",32,425
"30_TR",16,504
"32_29TR",24,546
"33_130AS",15,403
"40_AS",22,501
"58_DC",18,316
"58_TR",24,307
"74_DC",20,282
"A10__180_DC",26,512
"A13__148_AS",11,277
"A15__180_TR",10,633
"A16__084_CE",9,423
"A1__031_AS",16,443
"A2__148_CE",17,261
"A5__074_AS",12,429
"A6__103_CE",14,559
"A7__116_DC",17,571
"A8__093_SI",22,584
"A9_09_CE",11,343
"B10_058_CE",16,265
"B12_180_AS",21,605
"B13_148_DC",25,408
"B14_031_CE",22,529
"B15_148_RE",74,358
"B17_277_DC",53,491
"B18_115_TC",20,386
"B19_277_TC",42,519
"B1_115_SI",36,569
"B20_273_CE",18,441
"B21_153_CE",49,605
"B22_93_TR",23,605
"B23_153_RE",139,626
"B26_115_DC",27,455
"B27_116_AS",31,551
"B28_31_TR",12,443
"B29_09_AS",26,562
"B2_116_RE",72,491
"B32_93_AS",23,678
"B33_153_AS",54,574
"B35_130_TR",22,514
"B38_180_SI",32,466
"B39_277_CE",35,376
"B3_084_DC",17,492
"B41_277_AC",27,473
"B42_277_RTM",88,554
"B43_273_AS",16,412
"B44_273_TR",13,398
"B45_273_SI",35,430
"B46_273_DE",17,360
"B47_273_RE",18,641
"B4_076_SI",21,503
"B5_031_RE",40,457
"B6_153_SI",21,1735
"B7_030_DC",16,557
"B8_103_SI",29,538
"B9_115_RE",54,460
"C10_93_CE",20,1036
"C14_115_TR",24,639
"C15_277_TR",5,836
"C16_180_CE",35,544
"C17_93_AS",8,443
"C18_277_DE",43,420
"C1_103_TR",20,623
"C22_19_SI",22,907
"C24_31_TR",19,639
"C3_103_DE",9,313
"C5_148_TR",2,637
"C6_153_RE",75,712
"D10_030_RE",13,224
"D11_153_DE",7,342
"D12_058_SI",6,252
"D13_076_RE",29,478
"D14_074_RE",29,419
"D15_277_SI",19,379
"D15b_277_SI",11,227
"D16_040_SI",42,638
"D17_130_CE",13,307
"D18_153_TR",88,593
"D20_153_SI",17,500
"D24_093_RE",113,473
"D25_029_RE",17,237
"D26_084_SI",10,255
"D27_074_SI",9,201
"D29_030_AS",17,447
"D2_09_TR",28,551
"D30_029_AS",13,369
"D31_031_DE",23,510
"D32_076_CE",16,210
"D4_19_TR",16,735
"D6_84_RE",96,464
"D7_40_RE",53,339
"D8_076_AS",32,549
"D9_084_AS",2,157
"HLS_1C_30_B5",56,726
"HLS_1C_30_D5",67,739
"HLS_1C_30_G5",69,657
"HLS_1C_30_H5",39,528
"HLS_2C_30_D6",61,565
"HLS_2C_30_E6",47,650
"Laurel-1",25,434
"Laurel-10",17,434
"Laurel-11",2,16
"Laurel-12",21,355
"Laurel-2",20,494
"Laurel-3",20,498
"Laurel-5",3,61
"Laurel-7",11,341
"Laurel-8",22,419
"PD28690bx_2_a5",26,518
"PD28690bx_2_d5",23,533
"PD28690cb_2_g1",19,436
"PD28690cb_2_g3",44,684
"PD28690cb_2_h1",22,500
